Гос бюджет 1995/2002/2009; Внешний долг 1995/2002/2009;Платежный баланс 1995/2002/2009;Коэффициент соблюдения условий МВФ (conditionality) - X2;Одобренная сумма - X3;Номинальный ВВП 1995/2002/2009 - X1;Номинальный ВВП 2000/2007/2014 - У1 в ценах 10 года;таргет
87;101462;-5104;0,4;1063,224;268814;305277;13,56433761
4;4791;-303;0,56;149,087632;11383;13481;18,4287542
13;4209;-358;0,43;76,7884;19720;24452;23,99608265
5;13934;-1000;0,2;256,79813;44018;46459;5,546957464
2;2058;-135;0,51;79,387392;2368;2728;15,18391788
0;901;-13;0,6;163,987535;9158;10369;13,23209889
9;165600;-1577;0,51;17824,06434;707431;915215;29,37164036
0;10248;-722;0,6;177,381204;5152;6583;27,76824569
7;5890;-471;0,51;124,48581;13275;16648;25,40617139
162;33362;-4625;0,49;443,30534;75500;85798;13,63994354
2;2168;-262;0,5;55,642056;14295;15763;10,27200939
2;4636;-213;0,51;147,67;29121;32464;11,47731878
-44;156813;8702;0,4;28595,06463;260026;395587;52,13403927
31;6970;-352;0,56;181,0645912;14049;17200;22,43261173
98;230068;-8142;0,56;70895,74877;1607705;1957084;21,73153352
66;37382;-1289;0,65;1922,67792;201090;262527;30,55191965
3;200;-47;0,52;13,62269472;377;463;22,79152331
0;4536;-798;0,43;543,765112;35998;47717;32,554268
7;16236;-1219;0,2;469,1557692;50305;62815;24,86911428
14;5841;-1235;0,3;208,66272;31135;38091;22,34099299
3;1352;-106;0,51;67,753282;2804;3127;11,50912948
11;5025;-282;0,35;194,68977;11265;15015;33,28497783
15;6363;-784;0,6;121,0989;6829;8386;22,80723923
2;6349;-96;0,51;79,49056;17116;25012;46,13129783
24;27155;-1094;0,49;475,70132;91036;123439;35,59355821
-14;2783;622;0,6;62,102;18768;22990;22,4989531
-16;12876;382;0,51;2815,953088;28802;36335;26,15394015
18;405;-169;0,54;100,128825;1246;1201;-3,635360145
-3;53779;72;0,65;10333,29474;274237;349878;27,58220484
160;8150;-4433;0,43;730,272897;35743;43762;22,43707084
17;8215;-561;0,43;1623,570355;49714;64058;28,8522845
75;12622;-2332;0,3;935,425734;39547;47258;19,49734346
33;3365;-557;0,35;57,6297015;15270;18142;18,81347803
161;160427;-7656;0,51;46768,31992;1006297;1184703;17,72891639
12;6533;-702;0,6;115,70442;8389;10903;29,97698534
10;35157;-635;0,49;255,6889675;136180;180435;32,49710088
14;11307;-312;0,5;762,314121;18067;20475;13,32728921
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
